,True Rating,Predicted Rating,True Genre,Predicted Genre
1919,4.12,4.1899999999999995,0,0
1926,4.66,4.592999999999999,0,0
1927,4.54,4.366999999999999,0,0
1928,4.75,4.481999999999999,0,0
1935,4.91,4.532,1,0
1937,4.26,4.247999999999999,0,0
1948,4.0,4.526999999999999,0,0
1952,4.28,4.144,0,0
1954,4.62,4.5920000000000005,0,0
1958,4.07,4.107,0,0
1959,4.6,4.563000000000001,1,1
1964,4.15,4.606,0,0
1968,4.76,4.600999999999999,1,0
1988,3.57,4.0329999999999995,1,0
1989,4.46,4.5409999999999995,0,0
1993,4.22,4.202,1,0
1996,3.9,4.427000000000001,0,0
2002,0.0,0.0,0,0
2008,4.53,4.558999999999999,1,0
2027,4.75,4.366,0,1
2029,4.48,4.422000000000001,0,0
2030,4.8,4.483,1,1
2031,4.29,4.353,0,0
2036,4.35,4.35,1,0
2037,4.5,4.664,0,0
2038,4.25,4.307,0,0
2040,5.0,4.308,1,0
2042,4.62,4.548,0,0
2053,4.26,4.497,0,0
2054,5.0,4.1579999999999995,0,0
2057,4.33,4.103,0,0
2063,4.55,4.584,0,0
2066,5.0,4.05,0,0
2067,4.0,3.772,0,0
2071,4.11,4.356,0,0
2079,4.43,4.492,0,0
2083,3.94,4.401999999999999,0,0
2085,4.84,3.9959999999999996,1,0
2089,4.91,4.384,0,0
